Surname,#Awards,Education
Shannon,10,"['University of Michigan', 'AB', 'BS', 'Massachusetts Institute of Technology', 'MS', 'PhD']"
Shaw,0,"['University of California, San Diego', 'BS', 'Stanford University', 'MS', 'PhD']"
Shaw,0,[]
Shenker,5,"['Brown University', 'University of Chicago']"
Shekhar,28,"['University of California, Berkeley']"
Shneiderman,3,"['City College of New York', 'Stony Brook University']"
Shortliffe,0,"['Harvard University', 'Stanford University']"
Siewiorek,4,"['University of Michigan', 'B.A.', 'Stanford University', 'M.A.', 'Ph.D.']"
Sifakis,2,"['National Technical University of Athens', 'University of Grenoble']"
Simon,10,['University of Chicago']
Singh,5,"['University of Texas at Austin', 'Indian Institute of Technology Delhi']"
Sitaraman,0,"['Indian Institute of Technology, Madras', '[2]', 'Princeton University', '[2]']"
Sleator,2,"['University of Illinois at Urbana–Champaign', 'Stanford University']"
Sloman,0,[]
Sølvberg,0,[]
Smith,0,['MIT']
Smith,1,"['Oberlin College', 'Stanford University']"
Spewak,0,['Case Western Reserve University']
Spradling,0,['University of Nebraska - Lincoln']
Sproull,0,"['Deep Springs College', 'Cornell University']"
Srihari,0,"['University of Waterloo', 'University at Buffalo']"
Srihari,3,"['Bangalore University', 'Indian Institute of Science', 'Ohio State University']"
Stachowiak,0,"['Course 6 - Electrical Engineering and Computer Science', 'S.B.', 'M.Eng.']"
Stallman,5,"['Harvard University', 'BS', 'Massachusetts Institute of Technology']"
Stamper,0,['United Kingdom']
Stearns,2,"['Carleton College', 'Princeton University']"
Jr.,2,"['BA', 'Harvard University', 'MS', 'PhD', 'MIT']"
Sterling,6,"['Old Dominion University', 'Massachusetts Institute of Technology']"
Stepanov,0,[]
Stevens,0,"['University of Michigan', 'University of Arizona']"
Stockmeyer,0,[]
Stolfo,0,[]
Stonebraker,2,"['Princeton University', 'University of Michigan']"
Storaasli,0,['University of Edinburgh']
Strachey,0,['University of Cambridge']
Strassen,8,['University of Göttingen']
Stroustrup,11,"['Aarhus University', 'Cand.scient.', 'University of Cambridge', 'PhD']"
Sudan,2,"['IIT Delhi', 'University of California, Berkeley']"
Sussman,2,"['SB', 'PhD']"
Sutherland,1,"['RPI', 'MIT']"
Sutherland,8,"['MIT', 'Caltech', 'Carnegie Institute of Technology']"
Sweeney,0,"['Harvard University', 'ALB', 'MIT', 'SM', 'PhD']"
Szegedy,2,['University of Chicago']
Tabriz,0,['University of Illinois at Urbana–Champaign']
Tamassia,4,[]
Tanenbaum,22,"['Massachusetts Institute of Technology', 'University of California, Berkeley']"
Tate,2,"['Lancaster University', 'University of Edinburgh']"
Thalheim,4,"['Dresden University of Technology', 'Lomonosov Moscow State University']"
Tardos,5,['Eötvös Loránd University']
Tardos,4,['Eötvös Loránd University']
Tarjan,3,"['California Institute of Technology', 'BS', 'Stanford University', 'MS', 'PhD']"
Taylor,5,"['Purdue University', 'University of California at Berkeley']"
Tchou,0,[]
Teevan,7,"['Yale University', 'BS', 'Massachusetts Institute of Technology', 'PhD']"
Teng,6,"['Shanghai Jiao Tong University', 'University of Southern California', 'Carnegie Mellon']"
Tesler,0,['Stanford University']
Tevanian,0,[]
Thacker,3,"['University of California, Berkeley']"
Thalmann,4,['University of Geneva']
Thompson,9,"['University of California, Berkeley']"
Thrun,3,"['University of Bonn', 'University of Hildesheim']"
Tichy,0,"['Technische Universität München', 'Carnegie Mellon University']"
Toda,0,[]
Torvalds,3,"['University of Helsinki', '[2]']"
Quevedo,1,"[""Official School of the Road Engineers' Corps of Madrid"", 'es']"
Toussaint,11,['University of Tulsa']
Townsend,2,['Indiana University']
Tozer,0,[]
Traub,0,[]
Tucker,0,['University of Warwick']
Tukey,7,"['Brown University', 'Princeton University']"
Turing,2,"['University of Cambridge', 'BA', 'MA', 'Princeton University']"
Turner,0,"['D.Phil.', 'University of Oxford']"
Turoff,1,"['University of California - Berkeley', 'Brandeis University']"
Ullman,4,"['Columbia University', 'Princeton University']"
Valiant,6,"['University of Cambridge', 'Imperial College London', 'University of Warwick']"
Vapnik,11,"['Institute of Control Sciences, Russian Academy of Sciences', 'Uzbek State University']"
Vardi,7,"['Bar-Ilan University', 'Weizmann Institute of Science', '[4]', 'Hebrew University of Jerusalem']"
Vaughan,7,"['Wilberforce University', 'BA']"
Vauquois,0,['Ph.D.']
Vazirani,2,"['MIT', 'University of California, Berkeley']"
Veloso,3,"['Instituto Superior Técnico', 'University of Lisbon', 'Boston University', 'Carnegie Mellon University']"
Vernadat,0,['University of Clermont']
Veryard,0,['Open University']
Vilkomir,4,"['Kharkov State University', 'Kharkov Polytechnic Institute']"
Vitányi,8,"['Delft University of Technology', 'Free University of Amsterdam']"
Viterbi,8,"['Massachusetts Institute of Technology', 'BS', 'MS', 'University of Southern California', 'PhD']"
Vitter,0,"['University of Notre Dame', 'BS', 'Duke University', 'MBA', 'Stanford University', 'PhD']"
Vixie,0,['Keio University']
Wada,0,['University of Tokyo']
Wagner,0,[]
Waltz,2,['Massachusetts Institute of Technology']
Wang,2,"['Stanford University', 'M.S.', 'M.S.', 'Ph.D.', 'University of Minnesota', 'B.S.']"
Ward,0,[]
Warmuth,3,"['University of Colorado, Boulder']"
Warren,0,['University of Edinburgh']
Warwick,4,"['Aston University', 'Imperial College London']"
Węglarz,0,['Poznań University of Technology']
Wadler,4,"['Stanford University', 'Carnegie Mellon University']"
Wegner,2,['[1]']
Wegstein,0,"['University of Illinois', 'B.S.', 'M.S.']"
Weinberger,0,"['University of California, Berkeley']"
Weiser,0,['University of Michigan']
Weizenbaum,0,['Wayne State University']
Wheeler,3,['University of Cambridge']
Westervelt,0,[]
Whittaker,3,[]
Widom,6,"['Cornell University', 'Indiana University Jacobs School of Music']"
Wiederhold,3,"['University of California, San Francisco']"
Wiener,2,"['Tufts College', 'BA', 'Cornell University', 'MA', 'Harvard University', 'PhD']"
Wijngaarden,2,['Delft University of Technology']
Wilkes,0,"['Wellesley College', 'Harvard Law School']"
Wilkes,5,['University of Cambridge']
Wilks,1,['University of Cambridge']
Wilkinson,3,"['Trinity College, Cambridge']"
Wilson,6,"['Selwyn College, Cambridge', 'University of Cambridge']"
Winograd,0,"['New York University', 'Massachusetts Institute of Technology']"
Winograd,1,"['Colorado College', 'Massachusetts Institute of Technology']"
Winston,1,"['MIT', '[1]']"
Wirth,5,"['BS', 'MSc', 'Université Laval', 'University of California, Berkeley']"
Wiseman,0,"['University of Cambridge', 'University of Illinois', 'Queen Mary College']"
Wisnosky,0,['California University of Pennsylvania']
Wolfram,2,"[""St. John's College, Oxford"", 'California Institute of Technology']"
Woodger,0,['University College London']
Woodward,3,['Oxford University']
Worsley,3,"['University of Toronto', 'Massachusetts Institute of Technology', 'University of Cambridge']"
Wozniak,13,"['University of Colorado Boulder', 'De Anza College', 'University of California, Berkeley', 'BS', '[3]']"
Wu,0,[]
Wulf,0,"['University of Illinois Urbana-Champaign', 'University of Virginia']"
Yannakakis,2,"['National Technical University of Athens', 'Princeton University']"
Yao,4,"['National Taiwan University', 'Harvard University', 'University of Illinois at Urbana–Champaign']"
Yen,2,"['University of California, Berkeley', 'Santa Clara University', 'National Taiwan University', 'National Hsinchu Senior High School']"
Yoneda,0,['University of Tokyo']
Yourdon,1,['Massachusetts Institute of Technology']
Yung,6,['Columbia University']
Zadeh,12,"['University of Tehran', 'Massachusetts Institute of Technology', 'Columbia University']"
Zantema,0,['University of Amsterdam']
Zaman,0,"['Stanford University', '[2]', 'Harvey Mudd College', 'Claremont Graduate University']"
Zdonik,0,['Massachusetts Institute of Technology']
Zedan,0,['University of Bristol']
Zilberstein,6,"['University of California, Berkeley', 'Technion – Israel Institute of Technology']"
Zimmerman,0,"['Purdue University', 'University of Minnesota']"
Zuse,5,['Technical University of Berlin']
Wikipedia:Contents/Lists,0,[]
