,Surname,#Awards,Education
123,Das,0,"['Georgia Tech', 'Indian Institute of Science', 'Jadavpur University']"
124,Daswani,0,"['Stanford University', 'Columbia University']"
125,Date,0,['University of Cambridge']
126,Davis,0,"[""Bachelor's degree"", 'computer engineering', ""master's degree"", 'electrical engineering', 'Arizona State University']"
127,Dean,6,"['University of Minnesota', 'University of Washington']"
128,Demaine,3,"['Dalhousie University', 'University of Waterloo']"
129,DeMarco,2,"['Cornell University', 'Columbia University', 'University of Paris']"
130,DeMillo,0,"['University of St. Thomas', 'Georgia Institute of Technology']"
131,Denning,2,"['University of Michigan', 'Purdue University']"
132,Denning,2,"['Massachusetts Institute of Technology', '[1]', 'Manhattan College']"
133,Dertouzos,0,[]
134,Dewdney,0,[]
135,Dewar,0,"['University of Chicago', 'B.S.', 'Ph.D.']"
136,Dham,0,"['Delhi College of Engineering', 'Delhi Technological University', 'Delhi University', 'University of Cincinnati']"
137,Dietz,0,['Eindhoven University of Technology']
138,Diffie,6,['Massachusetts Institute of Technology']
139,Dijkstra,5,"['Leiden University', 'University of Amsterdam']"
140,Dillon,0,"['University of California, Berkeley']"
141,Dix,0,[]
142,Dongarra,15,"['Chicago State University', 'BS', 'Illinois Institute of Technology', 'MS', 'University of New Mexico', 'PhD']"
143,Dorigo,0,[]
144,Dourish,7,['Computer Science']
145,Draper,6,"['Massachusetts Institute of Technology', 'Stanford University']"
146,Dumais,1,"['Indiana University', 'Bates College']"
147,Dunkels,0,"['Swedish Institute of Computer Science', 'B.S.', 'M.S.', 'Ph.D.']"
148,Dunn,11,"['Oberlin College', 'University of Pittsburgh']"
149,Dustdar,0,[]
150,Eades,0,[]
151,Easley,0,['Cleveland State University']
152,Ebbinkhuijsen,0,[]
153,Eckert,4,['University of Pennsylvania']
154,Edelman,7,"['MIT', 'Yale University']"
155,Eich,0,"['University of Illinois Urbana-Champaign', 'Santa Clara University']"
156,Emeagwali,0,"['George Washington University School of Engineering and Applied Science', 'Oregon State University']"
157,Emerson,2,"['Harvard', 'UT Austin']"
158,Engelbart,7,"['Oregon State University', 'University of California, Berkeley']"
159,Engelhardt,2,"['Stanford University', 'University of California, Berkeley']"
160,Eppstein,0,"['Stanford University', 'Columbia University']"
161,Yershov,0,['Moscow State University']
162,Estridge,0,['University of Florida']
163,Etzioni,2,"['Harvard University', 'Carnegie Mellon University']"
164,Evans,0,"['University College London', 'University of Reading']"
165,Evans,3,[]
166,Even,0,['Harvard University']
167,Fahlman,3,"['Massachusetts Institute of Technology', 'B.S.', 'M.S.', 'Ph.D.']"
168,Feigenbaum,4,['Carnegie Mellon University']
169,Felten,2,"['California Institute of Technology', 'BS', 'University of Washington', 'MS', 'PhD']"
170,Finin,3,['University of Illinois']
171,Finkel,0,['University of Chicago']
172,Firesmith,0,['Arizona State University']
173,Flake,0,[]
174,Flowers,0,['University of London']
175,Floyd,2,"['University of Chicago', 'B.A.']"
176,Floyd,1,"['University of California, Berkeley']"
177,Fogel,0,"['New York University', 'Rutgers University', 'University of California, Los Angeles']"
178,Foley,11,"['University of Michigan', 'Lehigh University']"
179,Forbus,0,"['Massachusetts Institute of Technology', 'BS', 'MS', 'PhD']"
180,Jr.,0,[]
181,Fortnow,7,"['Cornell University', 'Massachusetts Institute of Technology']"
182,Fayed,0,"['Menoufia University', 'King Saud University']"
183,Fowler,0,"['University College London', 'BSc', '[1]']"
184,France,2,"['University of the West Indies', 'Trinidad and Tobago', 'Massey University', 'New Zealand']"
185,Franke,9,[]
186,Fredkin,2,['California Institute of Technology']
187,Freund,2,"['The Hebrew University of Jerusalem', 'University of California, Santa Cruz']"
188,Friedman,0,"['University of Houston', '[1]']"
189,Fischer,8,"['University of British Columbia', 'University of Cambridge']"
190,Fu,53,"['University of California, San Diego']"
191,Fu,6,[]
192,Fukushima,1,['Kyoto University']
193,Fulkerson,5,"['Southern Illinois University', 'University of Wisconsin–Madison']"
194,Gabriel,2,"['Northeastern University', 'Massachusetts Institute of Technology', 'University of Illinois', 'Stanford University', 'Warren Wilson College']"
195,Galil,3,"['Tel Aviv University', 'BSc', 'MSc', 'Cornell University', 'PhD']"
196,Galler,0,"['University of Chicago', 'UCLA']"
197,García-Molina,3,"['Monterrey Institute of Technology and Higher Education', 'BS', 'Stanford University', 'MS', 'PhD']"
198,Garey,0,['University of Wisconsin–Madison']
199,Garis,0,[]
200,Gates,4,['Harvard University']
201,Gelernter,3,"['Yale University', 'BA', 'State University of New York at Stony Brook', 'PhD']"
202,Gelobter,4,['Brown University']
203,Geschke,3,"['Xavier University', 'AB', 'MS', 'Carnegie Mellon University', 'PhD']"
204,Ghahramani,3,"['University of Pennsylvania', 'Massachusetts Institute of Technology']"
205,Ghemawat,1,"['Cornell University', 'MIT']"
206,Gibbons,0,"['University of Edinburgh', 'B.Sc.', 'University of Oxford', 'D.Phil.']"
207,Gilbert,1,"['Miami University', 'University of Cincinnati']"
208,Giles,7,"['Rhodes College', 'University of Tennessee', 'University of Michigan', 'University of Arizona']"
209,Ginsburg,0,"['City College of New York', 'University of Michigan']"
210,Glass,0,[]
211,Gödel,3,"['University of Vienna', 'PhD']"
212,Goel,3,['Ohio State University']
213,Goguen,0,"['Harvard University', 'University of California, Berkeley']"
214,Gold,0,[]
215,Goldberg,0,"['University of Michigan', 'University of Chicago']"
216,Goldberg,2,"['Massachusetts Institute of Technology', 'University of California, Berkeley']"
217,Goldberg,0,"['University of California, Berkeley', 'University of Waterloo']"
218,Goldsmith,0,[]
219,Goldreich,2,"['Technion', 'Weizmann Institute']"
220,Goldwasser,11,"['Carnegie Mellon University', 'University of California, Berkeley']"
221,Golub,0,['University of Illinois at Urbana-Champaign']
222,Golumbic,0,[]
223,Gonnet,1,['University of Waterloo']
224,Goodfellow,0,"['Stanford University', 'Université de Montréal']"
225,Gosling,7,"['University of Calgary', 'BSc', 'Carnegie Mellon University', 'MA', 'PhD']"
226,Graham,0,"['Cornell University', 'Harvard University']"
227,Graham,0,[]
228,Graham,5,"['Harvard', 'Stanford']"
229,Gray,2,"['University of California, Berkeley']"
230,Greibach,0,"['Radcliffe College', 'Harvard University']"
231,Gries,4,"['B.S.', 'Queens College', 'M.S.', 'University of Illinois at Urbana-Champaign', 'Dr. rer. nat.', 'Technical University of Munich']"
232,Griswold,0,[]
233,Gropp,2,['Stanford University']
234,Gruber,0,['Loyola University New Orleans']
235,Guberman,0,[]
236,Guha,16,"['Indian Institute of Technology Madras', 'University of California, Berkeley', 'Stanford University']"
237,Gunther,9,"['La Trobe University', 'University of Southampton']"
238,Gutknecht,0,"['Ph.D.', 'ETH Zurich']"
239,Guy,0,[]
240,Griesemer,0,[]
241,Habermann,0,"['Free University of Amsterdam', 'Eindhoven University of Technology']"
242,Hahn,0,[]
243,Hall,1,"['University of Washington', 'Rutgers University', 'Eastern Nazarene College', 'Boston University', 'Massachusetts Institute of Technology', 'Harvard University']"
244,Hall,2,"['University of Southampton', 'City University London', '[5]']"
245,Halpern,3,['University of Toronto']
246,Hamilton,1,"['University of Michigan', 'Earlham College', 'BA']"
247,Hamming,4,"['University of Chicago', 'University of Nebraska', 'University of Illinois at Urbana–Champaign']"
248,Han,0,"['University of Wisconsin - Madison', 'PhD', 'University of Science and Technology of China', 'BSc.']"
249,Harary,0,"['Brooklyn College', 'University of California, Berkeley']"
250,Harris,0,"['School of Oriental and African Studies', 'American University in Cairo', ""Quai d'Orsay""]"
251,Hartmanis,2,"['University of Marburg', 'University of Kansas City', 'Caltech']"
252,Håstad,4,"['Massachusetts Institute of Technology', 'Uppsala University', 'Stockholm University']"
253,Hatton,2,"[""King's College, Cambridge""]"
254,Hawryszkiewycz,0,[]
255,Jifeng,0,['Fudan University']
256,Hehner,0,"['Carleton University', 'B.Sc.', 'University of Toronto', 'M.Sc.', 'Ph.D.']"
257,Hellman,9,"['New York University', 'Stanford University']"
258,Heiser,6,"['University of Freiburg', 'Brock University', 'ETH Zurich']"
259,Hendler,0,"['Yale University', 'Southern Methodist University', 'Brown University']"
260,Hennessy,9,"['Villanova University', 'Stony Brook University']"
261,Herbert,0,['Leeds University']
262,Hewitt,0,['MIT']
263,Hightower,0,[]
264,Hillis,2,['Massachusetts Institute of Technology']
265,Hinton,9,"['University of Cambridge', 'BA', 'University of Edinburgh']"
266,Hirschberg,10,"['University of Pennsylvania', 'University of Michigan']"
267,Ho,7,['Chinese University of Hong Kong']
268,Hoare,7,"['University of Oxford', 'Moscow State University']"
269,Hodes,0,"['B.S.', 'Polytechnic Institute of Brooklyn', 'Ph.D.', 'MIT']"
270,Holberton,4,['University of Pennsylvania']
271,Holland,3,['University of Michigan']
272,Hollerith,3,"['City College of New York', 'Columbia University']"
273,Holzmann,2,['Delft University of Technology']
274,Hopcroft,8,"['Seattle University', 'Stanford University']"
