,Surname,#Awards,Education
498,Ritchie,8,['Harvard University']
499,Rivest,5,"['Stanford University', 'Yale University']"
500,Robinson,2,['University of Sydney']
501,Rolland,0,['University of Nancy']
502,Romero,0,[]
503,Rosenfeld,3,[]
504,Ross,3,"['Oberlin College', 'B.Sc.', 'Massachusetts Institute of Technology', 'M.Sc.']"
505,Rossum,2,['University of Amsterdam']
506,Rothman,0,['United States Patent and Trademark Office']
507,Royce,0,[]
508,Rucker,0,"['St. Xavier High School', 'Swarthmore College', 'BA', 'Rutgers University', 'MS', 'PhD']"
509,Rudich,1,[]
510,Rulifson,25,"['University of Washington', 'Stanford University']"
511,Rumbaugh,0,[]
512,Ružička,4,['Comenius University in Bratislava']
513,Sadowsky,0,['Harvard University']
514,Sadrzadeh,0,"['Université du Québec à Montréal', 'Sharif University of Technology']"
515,Saif,0,"['Lahore University of Management Sciences', 'University of Cambridge', 'Massachusetts Institute of Technology']"
516,Salton,6,"['Brooklyn College', 'Harvard University']"
517,Sammet,3,"['Mount Holyoke College', 'B.A.', 'University of Illinois at Urbana Champaign', 'M.A.', 'Columbia University']"
518,Sammut,0,[]
519,Sassenrath,0,"['University of California, Davis']"
520,Satyanarayanan,5,"['Carnegie Mellon University (Ph.D.)', 'IIT Madras (M.Tech., B.Tech.)']"
521,Savitch,0,"['University of California, Berkeley']"
522,Schaeffer,2,"['University of Waterloo', 'University of Toronto']"
523,Schickard,0,[]
524,Schmidhuber,0,['Technical University of Munich']
525,Schneider,0,['University of Oxford']
526,Schneier,0,"['American University', 'University of Rochester']"
527,Schneider,5,['Stony Brook University']
528,Schoenebeck,6,"['Georgia Institute of Technology', 'University of California, Berkeley', 'Dartmouth College']"
529,Schroeder,0,['Unix shell']
530,Schölkopf,10,"['University of London', 'University of Tübingen', 'TU Berlin']"
531,Scott,6,"['UC Berkeley', 'Princeton University']"
532,Scott,0,[]
533,Sedgewick,4,['Brown University']
534,Sethi,0,"['Indian Institute of Technology, Kanpur', 'Princeton University']"
535,Shadbolt,2,"['Newcastle University', 'University of Edinburgh']"
536,Shamir,6,"['Tel Aviv University', 'Weizmann Institute of Science']"
537,Shannon,10,"['University of Michigan', 'AB', 'BS', 'Massachusetts Institute of Technology', 'MS', 'PhD']"
538,Shaw,0,"['University of California, San Diego', 'BS', 'Stanford University', 'MS', 'PhD']"
539,Shaw,0,[]
540,Shenker,5,"['Brown University', 'University of Chicago']"
541,Shekhar,28,"['University of California, Berkeley']"
542,Shneiderman,3,"['City College of New York', 'Stony Brook University']"
543,Shortliffe,0,"['Harvard University', 'Stanford University']"
544,Siewiorek,4,"['University of Michigan', 'B.A.', 'Stanford University', 'M.A.', 'Ph.D.']"
545,Sifakis,2,"['National Technical University of Athens', 'University of Grenoble']"
546,Simon,10,['University of Chicago']
547,Singh,5,"['University of Texas at Austin', 'Indian Institute of Technology Delhi']"
548,Sitaraman,0,"['Indian Institute of Technology, Madras', '[2]', 'Princeton University', '[2]']"
549,Sleator,2,"['University of Illinois at Urbana–Champaign', 'Stanford University']"
550,Sloman,0,[]
551,Sølvberg,0,[]
552,Smith,0,['MIT']
553,Smith,1,"['Oberlin College', 'Stanford University']"
554,Spewak,0,['Case Western Reserve University']
555,Spradling,0,['University of Nebraska - Lincoln']
556,Sproull,0,"['Deep Springs College', 'Cornell University']"
557,Srihari,0,"['University of Waterloo', 'University at Buffalo']"
558,Srihari,3,"['Bangalore University', 'Indian Institute of Science', 'Ohio State University']"
559,Stachowiak,0,"['Course 6 - Electrical Engineering and Computer Science', 'S.B.', 'M.Eng.']"
560,Stallman,5,"['Harvard University', 'BS', 'Massachusetts Institute of Technology']"
561,Stamper,0,['United Kingdom']
562,Stearns,2,"['Carleton College', 'Princeton University']"
563,Jr.,2,"['BA', 'Harvard University', 'MS', 'PhD', 'MIT']"
564,Sterling,6,"['Old Dominion University', 'Massachusetts Institute of Technology']"
565,Stepanov,0,[]
566,Stevens,0,"['University of Michigan', 'University of Arizona']"
567,Stockmeyer,0,[]
568,Stolfo,0,[]
569,Stonebraker,2,"['Princeton University', 'University of Michigan']"
570,Storaasli,0,['University of Edinburgh']
571,Strachey,0,['University of Cambridge']
572,Strassen,8,['University of Göttingen']
573,Stroustrup,11,"['Aarhus University', 'Cand.scient.', 'University of Cambridge', 'PhD']"
574,Sudan,2,"['IIT Delhi', 'University of California, Berkeley']"
575,Sussman,2,"['SB', 'PhD']"
576,Sutherland,1,"['RPI', 'MIT']"
577,Sutherland,8,"['MIT', 'Caltech', 'Carnegie Institute of Technology']"
578,Sweeney,0,"['Harvard University', 'ALB', 'MIT', 'SM', 'PhD']"
579,Szegedy,2,['University of Chicago']
580,Tabriz,0,['University of Illinois at Urbana–Champaign']
581,Tamassia,4,[]
582,Tanenbaum,22,"['Massachusetts Institute of Technology', 'University of California, Berkeley']"
583,Tate,2,"['Lancaster University', 'University of Edinburgh']"
584,Thalheim,4,"['Dresden University of Technology', 'Lomonosov Moscow State University']"
585,Tardos,5,['Eötvös Loránd University']
586,Tardos,4,['Eötvös Loránd University']
587,Tarjan,3,"['California Institute of Technology', 'BS', 'Stanford University', 'MS', 'PhD']"
588,Taylor,5,"['Purdue University', 'University of California at Berkeley']"
589,Tchou,0,[]
590,Teevan,7,"['Yale University', 'BS', 'Massachusetts Institute of Technology', 'PhD']"
591,Teng,6,"['Shanghai Jiao Tong University', 'University of Southern California', 'Carnegie Mellon']"
592,Tesler,0,['Stanford University']
593,Tevanian,0,[]
594,Thacker,3,"['University of California, Berkeley']"
595,Thalmann,4,['University of Geneva']
596,Thompson,9,"['University of California, Berkeley']"
597,Thrun,3,"['University of Bonn', 'University of Hildesheim']"
598,Tichy,0,"['Technische Universität München', 'Carnegie Mellon University']"
599,Toda,0,[]
600,Torvalds,3,"['University of Helsinki', '[2]']"
601,Quevedo,1,"[""Official School of the Road Engineers' Corps of Madrid"", 'es']"
602,Toussaint,11,['University of Tulsa']
603,Townsend,2,['Indiana University']
604,Tozer,0,[]
605,Traub,0,[]
606,Tucker,0,['University of Warwick']
607,Tukey,7,"['Brown University', 'Princeton University']"
608,Turing,2,"['University of Cambridge', 'BA', 'MA', 'Princeton University']"
609,Turner,0,"['D.Phil.', 'University of Oxford']"
610,Turoff,1,"['University of California - Berkeley', 'Brandeis University']"
611,Ullman,4,"['Columbia University', 'Princeton University']"
612,Valiant,6,"['University of Cambridge', 'Imperial College London', 'University of Warwick']"
613,Vapnik,11,"['Institute of Control Sciences, Russian Academy of Sciences', 'Uzbek State University']"
614,Vardi,7,"['Bar-Ilan University', 'Weizmann Institute of Science', '[4]', 'Hebrew University of Jerusalem']"
615,Vaughan,7,"['Wilberforce University', 'BA']"
616,Vauquois,0,['Ph.D.']
617,Vazirani,2,"['MIT', 'University of California, Berkeley']"
618,Veloso,3,"['Instituto Superior Técnico', 'University of Lisbon', 'Boston University', 'Carnegie Mellon University']"
619,Vernadat,0,['University of Clermont']
620,Veryard,0,['Open University']
621,Vilkomir,4,"['Kharkov State University', 'Kharkov Polytechnic Institute']"
622,Vitányi,8,"['Delft University of Technology', 'Free University of Amsterdam']"
623,Viterbi,8,"['Massachusetts Institute of Technology', 'BS', 'MS', 'University of Southern California', 'PhD']"
624,Vitter,0,"['University of Notre Dame', 'BS', 'Duke University', 'MBA', 'Stanford University', 'PhD']"
625,Vixie,0,['Keio University']
626,Wada,0,['University of Tokyo']
627,Wagner,0,[]
628,Waltz,2,['Massachusetts Institute of Technology']
629,Wang,2,"['Stanford University', 'M.S.', 'M.S.', 'Ph.D.', 'University of Minnesota', 'B.S.']"
630,Ward,0,[]
631,Warmuth,3,"['University of Colorado, Boulder']"
632,Warren,0,['University of Edinburgh']
633,Warwick,4,"['Aston University', 'Imperial College London']"
634,Węglarz,0,['Poznań University of Technology']
635,Wadler,4,"['Stanford University', 'Carnegie Mellon University']"
636,Wegner,2,['[1]']
637,Wegstein,0,"['University of Illinois', 'B.S.', 'M.S.']"
638,Weinberger,0,"['University of California, Berkeley']"
639,Weiser,0,['University of Michigan']
640,Weizenbaum,0,['Wayne State University']
641,Wheeler,3,['University of Cambridge']
642,Westervelt,0,[]
643,Whittaker,3,[]
644,Widom,6,"['Cornell University', 'Indiana University Jacobs School of Music']"
645,Wiederhold,3,"['University of California, San Francisco']"
646,Wiener,2,"['Tufts College', 'BA', 'Cornell University', 'MA', 'Harvard University', 'PhD']"
647,Wijngaarden,2,['Delft University of Technology']
648,Wilkes,0,"['Wellesley College', 'Harvard Law School']"
649,Wilkes,5,['University of Cambridge']
650,Wilks,1,['University of Cambridge']
651,Wilkinson,3,"['Trinity College, Cambridge']"
652,Wilson,6,"['Selwyn College, Cambridge', 'University of Cambridge']"
653,Winograd,0,"['New York University', 'Massachusetts Institute of Technology']"
654,Winograd,1,"['Colorado College', 'Massachusetts Institute of Technology']"
655,Winston,1,"['MIT', '[1]']"
656,Wirth,5,"['BS', 'MSc', 'Université Laval', 'University of California, Berkeley']"
657,Wiseman,0,"['University of Cambridge', 'University of Illinois', 'Queen Mary College']"
658,Wisnosky,0,['California University of Pennsylvania']
659,Wolfram,2,"[""St. John's College, Oxford"", 'California Institute of Technology']"
660,Woodger,0,['University College London']
661,Woodward,3,['Oxford University']
662,Worsley,3,"['University of Toronto', 'Massachusetts Institute of Technology', 'University of Cambridge']"
663,Wozniak,13,"['University of Colorado Boulder', 'De Anza College', 'University of California, Berkeley', 'BS', '[3]']"
664,Wu,0,[]
665,Wulf,0,"['University of Illinois Urbana-Champaign', 'University of Virginia']"
666,Yannakakis,2,"['National Technical University of Athens', 'Princeton University']"
667,Yao,4,"['National Taiwan University', 'Harvard University', 'University of Illinois at Urbana–Champaign']"
668,Yen,2,"['University of California, Berkeley', 'Santa Clara University', 'National Taiwan University', 'National Hsinchu Senior High School']"
669,Yoneda,0,['University of Tokyo']
670,Yourdon,1,['Massachusetts Institute of Technology']
671,Yung,6,['Columbia University']
672,Zadeh,12,"['University of Tehran', 'Massachusetts Institute of Technology', 'Columbia University']"
673,Zantema,0,['University of Amsterdam']
674,Zaman,0,"['Stanford University', '[2]', 'Harvey Mudd College', 'Claremont Graduate University']"
675,Zdonik,0,['Massachusetts Institute of Technology']
676,Zedan,0,['University of Bristol']
677,Zilberstein,6,"['University of California, Berkeley', 'Technion – Israel Institute of Technology']"
678,Zimmerman,0,"['Purdue University', 'University of Minnesota']"
679,Zuse,5,['Technical University of Berlin']
680,Wikipedia:Contents/Lists,0,[]
